,name,pos,team,overallRank,positionRank,vor,points,upper,risk,adp
1,LeVeon Bell,RB,PIT,1,1,112.9593,239.9599,265.5396,10.2458,4.3225
2,Jamaal Charles,RB,KC,2,2,107.2419,234.2425,253.8539,6.6925,4.45
3,Adrian Peterson,RB,MIN,3,3,104.048,231.0486,243.3057,5.3206,4.69
4,Eddie Lacy,RB,GB,4,4,101.7123,228.7129,240.8671,8.1847,4.385
5,Antonio Brown,WR,PIT,5,1,100.6685,223.0244,233.0967,5.7459,6.7725
6,Marshawn Lynch,RB,SEA,6,5,99.4122,226.4128,240.2334,4.3429,7.46
7,Demaryius Thomas,WR,DEN,7,2,92.4,214.7559,223.5969,6.232,12.3725
8,Odell Beckham,WR,NYG,8,3,88.0368,210.3927,228.1607,9.1704,12.255
9,Dez Bryant,WR,DAL,9,4,87.6742,210.0301,218.5833,5.8457,10.38
10,Matt Forte,RB,CHI,10,6,85.628,212.6286,225.2184,6.0043,14.045
11,C.J. Anderson,RB,DEN,11,7,84.628,211.6286,230.5106,6.1241,15.305
12,Julio Jones,WR,ATL,12,5,80.3069,202.6628,217.7896,8.7585,14.7775
13,DeMarco Murray,RB,PHI,13,8,78.2989,205.2995,225.5303,6.5356,14.0975
14,Jordy Nelson,WR,GB,14,6,77.779,200.1348,209.8183,7.8198,19.5825
15,Rob Gronkowski,TE,NE,15,1,77.0187,179.5051,200.8319,6.8995,13.52
16,Aaron Rodgers,QB,GB,16,1,76.6525,326.8885,340.4335,4.7474,12.495
17,Calvin Johnson,WR,DET,17,7,76.6056,198.9615,217.9064,7.7411,17.35
18,Andrew Luck,QB,IND,18,2,75.7014,325.9374,349.824,4.4743,11.5375
19,LeSean McCoy,RB,BUF,19,9,73.8882,200.8888,211.5914,4.5601,15.3675
20,Jeremy Hill,RB,CIN,20,10,70.598,197.5986,215.8516,4.749,17.9025
21,A.J. Green,WR,CIN,21,8,59.9906,182.3465,191.8313,8.167,21.4775
22,Randall Cobb,WR,GB,22,9,58.1302,180.4861,190.4072,6.3457,23.425
23,Justin Forsett,RB,BAL,23,11,56.5382,183.5388,196.4816,4.8481,32.25
24,Alshon Jeffery,WR,CHI,24,10,55.2228,177.5786,190.1681,6.0993,25.4225
25,Mike Evans,WR,TB,25,11,50.7987,173.1546,189.8657,5.8076,27.0575
26,T.Y. Hilton,WR,IND,26,12,49.3126,171.6684,186.2497,6.3772,28.9725
