,Name,Pos,Team,ADP,Stdev
1,Adrian Peterson,RB,MIN,2.0,1.1
2,LeVeon Bell,RB,PIT,2.4,1.2
3,Eddie Lacy,RB,GB,3.2,1.4
4,Jamaal Charles,RB,KC,4.1,1.5
5,Marshawn Lynch,RB,SEA,5.2,1.4
6,Antonio Brown,WR,PIT,6.0,2.1
7,CJ Anderson,RB,DEN,7.7,2.1
8,Dez Bryant,WR,DAL,8.6,2.1
9,Matt Forte,RB,CHI,10.1,2.7
10,Demaryius Thomas,WR,DEN,10.8,2.3
11,Julio Jones,WR,ATL,11.6,2.6
12,LeSean McCoy,RB,BUF,12.3,3.4
13,Jeremy Hill,RB,CIN,12.8,3.2
14,Odell Beckham Jr,WR,NYG,13.8,2.9
15,DeMarco Murray,RB,PHI,14.9,3.4
16,Rob Gronkowski,TE,NE,15.3,4.1
17,Calvin Johnson,WR,DET,15.6,2.4
18,Andrew Luck,QB,IND,15.7,6.4
19,Jordy Nelson,WR,GB,17.9,2.4
20,Aaron Rodgers,QB,GB,18.5,5.8
21,A.J. Green,WR,CIN,20.2,2.2
22,Justin Forsett,RB,BAL,21.5,3.6
23,Randall Cobb,WR,GB,23.1,2.5
24,Alshon Jeffery,WR,CHI,24.5,2.8
25,Frank Gore,RB,IND,25.2,4.1
26,T.Y. Hilton,WR,IND,26.1,3.0
27,Mike Evans,WR,TB,27.4,3.1
28,Lamar Miller,RB,MIA,27.6,3.6
29,Alfred Morris,RB,WAS,30.1,3.4
30,Jimmy Graham,TE,SEA,30.8,4.6
31,Melvin Gordon,RB,SD,31.2,4.0
32,Joseph Randle,RB,DAL,32.0,4.1
33,Emmanuel Sanders,WR,DEN,33.0,4.5
34,Mark Ingram,RB,NO,33.5,3.6
35,Brandin Cooks,WR,NO,35.0,4.5
36,Latavius Murray,RB,OAK,36.1,4.3
37,Kelvin Benjamin,WR,CAR,36.6,4.1
38,DeAndre Hopkins,WR,HOU,37.2,4.3
39,Jordan Matthews,WR,PHI,38.7,4.3
40,Carlos Hyde,RB,SF,39.5,4.6
41,Peyton Manning,QB,DEN,39.6,6.8
42,Jonathan Stewart,RB,CAR,41.7,4.8
43,Andre Johnson,WR,IND,42.5,3.9
44,Andre Ellington,RB,ARI,43.9,5.4
45,Amari Cooper,WR,OAK,45.4,4.6
46,Ameer Abdullah,RB,DET,46.6,7.8
47,Todd Gurley,RB,STL,47.2,6.3
48,Keenan Allen,WR,SD,47.3,4.7
49,C.J. Spiller,RB,NO,47.7,6.5
50,Russell Wilson,QB,SEA,49.5,7.9
51,Golden Tate,WR,DET,50.4,5.8
52,TJ Yeldon,RB,JAC,51.4,6.1
53,Julian Edelman,WR,NE,53.0,6.3
54,Martavis Bryant,WR,PIT,53.2,6.1
55,Travis Kelce,TE,KC,53.5,6.9
56,Ben Roethlisberger,QB,PIT,54.1,8.0
57,Sammy Watkins,WR,BUF,55.8,6.4
58,Rashad Jennings,RB,NYG,57.3,6.7
59,LeGarrette Blount,RB,NE,58.0,6.2
60,Doug Martin,RB,TB,58.2,6.8
61,Drew Brees,QB,NO,58.2,8.1
62,Brandon Marshall,WR,NYJ,59.0,7.3
63,Greg Olsen,TE,CAR,61.3,6.7
64,DeSean Jackson,WR,WAS,61.4,7.0
65,Arian Foster,RB,HOU,63.1,7.6
66,Jarvis Landry,WR,MIA,64.7,6.9
67,Jeremy Maclin,WR,KC,65.0,7.1
68,Chris Ivory,RB,NYJ,65.5,7.0
69,Victor Cruz,WR,NYG,67.2,7.7
70,Giovani Bernard,RB,CIN,70.4,8.3
71,Martellus Bennett,TE,CHI,71.7,8.0
72,Allen Robinson,WR,JAC,71.8,7.1
73,Isaiah Crowell,RB,CLE,72.0,8.3
74,Vincent Jackson,WR,TB,73.1,6.9
75,Cam Newton,QB,CAR,73.6,9.1
76,Joique Bell,RB,DET,75.5,8.7
77,Matt Ryan,QB,ATL,75.9,9.1
78,Alfred Blue,RB,HOU,76.1,9.9
79,Julius Thomas,TE,JAC,78.4,9.5
80,Nelson Agholor,WR,PHI,78.7,8.6
81,Tony Romo,QB,DAL,79.1,9.4
82,Tevin Coleman,RB,ATL,80.8,8.1
83,Mike Wallace,WR,MIN,81.8,8.1
84,Charles Johnson,WR,MIN,82.3,7.8
85,Shane Vereen,RB,NYG,82.6,9.0
86,Tre Mason,RB,STL,84.2,8.6
87,Tom Brady,QB,NE,84.4,10.3
88,John Brown,WR,ARI,85.8,8.4
89,Roddy White,WR,ATL,88.1,9.1
90,Ryan Mathews,RB,PHI,88.3,7.4
91,Steve Smith,WR,BAL,88.8,9.4
92,Owen Daniels,TE,DEN,89.9,13.3
93,Zach Ertz,TE,PHI,90.3,11.5
94,Larry Fitzgerald,WR,ARI,91.1,8.1
95,Matthew Stafford,QB,DET,91.8,9.7
96,Bishop Sankey,RB,TEN,92.1,8.8
97,Devonta Freeman,RB,ATL,93.5,9.0
98,Eli Manning,QB,NYG,94.1,10.1
99,Jordan Cameron,TE,MIA,94.3,11.8
100,Davante Adams,WR,GB,96.8,9.0
101,Seattle Defense,DEF,SEA,96.9,10.8
102,Darren McFadden,RB,DAL,101.1,10.5
103,Brandon LaFell,WR,NE,101.6,8.7
104,Ryan Tannehill,QB,MIA,101.6,9.8
105,Kevin White,WR,CHI,102.4,9.7
106,David Cobb,RB,TEN,103.4,12.0
107,Breshad Perriman,WR,BAL,103.7,8.2
108,Jason Witten,TE,DAL,106.2,15.3
109,Knile Davis,RB,KC,107.1,10.4
110,Marques Colston,WR,NO,108.2,9.0
111,Houston Defense,DEF,HOU,108.8,8.0
112,Philip Rivers,QB,SD,109.1,8.8
113,Duke Johnson,RB,CLE,109.4,11.2
114,Pierre Garcon,WR,WAS,109.7,9.1
115,Michael Floyd,WR,ARI,109.9,9.9
116,Buffalo Defense,DEF,BUF,110.9,9.1
117,David Johnson,RB,ARI,113.4,10.6
118,Sam Bradford,QB,PHI,114.3,8.2
119,Terrance Williams,WR,DAL,115.0,9.9
120,Torrey Smith,WR,SF,115.5,11.5
121,Danny Woodhead,RB,SD,115.9,12.5
122,Anquan Boldin,WR,SF,117.9,11.1
123,Reggie Bush,RB,SF,118.0,12.1
124,Delanie Walker,TE,TEN,118.9,15.4
125,DeAngelo Williams,RB,PIT,120.9,12.8
126,St. Louis Defense,DEF,STL,121.5,10.1
127,Eric Decker,WR,NYJ,122.1,10.5
128,NY Jets Defense,DEF,NYJ,123.9,19.2
129,Steve Johnson,WR,SD,124.3,11.3
130,Teddy Bridgewater,QB,MIN,125.6,12.5
131,DeVante Parker,WR,MIA,126.0,10.9
132,Josh Hill,TE,NO,126.3,16.8
133,Montee Ball,RB,DEN,126.7,12.1
134,Brian Quick,WR,STL,127.4,9.9
135,Miami Defense,DEF,MIA,128.8,9.2
136,Carson Palmer,QB,ARI,129.0,10.2
137,Darren Sproles,RB,PHI,129.3,14.5
138,Kendall Wright,WR,TEN,130.4,11.0
139,Markus Wheaton,WR,PIT,132.4,11.8
140,Charles Sims,RB,TB,134.3,12.7
141,Percy Harvin,WR,BUF,134.6,12.9
142,Dwayne Allen,TE,IND,136.2,19.0
143,Arizona Defense,DEF,ARI,136.2,10.3
144,Colin Kaepernick,QB,SF,137.0,11.6
145,Kyle Rudolph,TE,MIN,138.2,19.7
146,Tyler Eifert,TE,CIN,139.9,16.7
147,Cody Latimer,WR,DEN,142.1,16.0
148,Joe Flacco,QB,BAL,142.4,12.4
149,Stephen Gostkowski,PK,NE,142.4,18.0
150,Andre Williams,RB,NYG,143.2,16.0
151,Eddie Royal,WR,CHI,143.6,14.8
152,Michael Crabtree,WR,OAK,143.8,12.6
153,Cameron Artis-Payne,RB,CAR,145.1,14.0
154,Denver Defense,DEF,DEN,145.3,12.7
155,Marvin Jones,WR,CIN,145.6,11.7
156,Jonas Gray,RB,NE,148.3,20.1
157,Jay Ajayi,RB,MIA,149.9,15.8
158,Adam Vinatieri,PK,IND,150.2,11.0
159,Antonio Gates,TE,SD,150.3,20.0
160,Jameis Winston,QB,TB,150.9,19.4
161,Carolina Defense,DEF,CAR,150.9,13.6
162,Roy Helu,RB,OAK,152.0,16.8
163,Dorial Green-Beckham,WR,TEN,153.1,13.1
164,Vernon Davis,TE,SF,153.3,21.5
165,Jay Cutler,QB,CHI,153.8,13.0
166,Jerick McKinnon,RB,MIN,154.1,19.2
167,Kenny Stills,WR,MIA,154.2,15.2
168,Chris Polk,RB,PHI,154.3,19.2
169,Ladarius Green,TE,SD,155.1,18.6
170,Coby Fleener,TE,IND,155.2,21.3
171,Dan Bailey,PK,DAL,155.3,13.5
172,Fred Jackson,RB,BUF,156.2,17.2
173,Austin Seferian-Jenkins,TE,TB,156.7,18.7
174,Phillip Dorsett,WR,IND,156.9,17.8
175,Doug Baldwin,WR,SEA,157.5,16.4
176,James Starks,RB,GB,157.6,17.1
177,Kansas City Defense,DEF,KC,157.7,13.5
178,Ray Rice,RB,BAL,158.0,29.2
179,Rueben Randle,WR,NYG,158.1,15.6
180,Mason Crosby,PK,GB,158.9,10.7
181,Philadelphia Defense,DEF,PHI,159.1,12.5
182,Steven Hauschka,PK,SEA,159.6,6.6
